# Index Address Node PA-count Peer-snoop Peer-total Peer-local Peer-remote Records Loads Stores
0 0x8e001840 0 24256 21.46% 2566 2566 0 46544 45987 557
1 0x8e001240 0 1372 18.79% 2246 2246 0 10836 10460 376
2 0x8e002040 0 1133 18.09% 2163 2163 0 7756 7273 483
3 0x8e000840 0 22902 8.39% 1003 1003 0 31085 30803 282
4 0x8e003880 0 3302 5.86% 701 701 0 5713 5587 126
5 0x8e001880 0 6162 5.36% 641 641 0 11495 11360 135
6 0x8e000880 0 7681 5.35% 639 639 0 11049 10783 266
7 0x8e001280 0 335 4.26% 509 509 0 2618 2479 139
8 0x8e002080 0 1872 4.22% 504 504 0 3390 3271 119
9 0x8e003700 0 9838 3.29% 393 393 0 14562 14446 116
10 0x8e0be380 0 169 0.44% 53 53 0 228 221 7
