object_address,size,class_name,object_id
0x8e000800,120,org.sunflow.core.renderer.BucketRenderer$BucketThread,
0x8e000878,32,org.sunflow.core.accel.BoundingIntervalHierarchy,
0x8e000898,40,org.sunflow.core.IntersectionState,
0x8e001240,24,org.sunflow.core.gi.InstantGI$PointLight,
0x8e001258,24,org.sunflow.image.Color,
0x8e001270,24,org.sunflow.image.Color,
0x8e001288,40,org.sunflow.core.IntersectionState,
0x8e0012b0,24,java.lang.String,
0x8e001800,120,org.sunflow.core.renderer.BucketRenderer$BucketThread,
0x8e001878,32,org.sunflow.core.accel.KDTree,
0x8e001898,40,org.sunflow.core.IntersectionState,
0x8e002000,120,org.sunflow.core.renderer.BucketRenderer$BucketThread,
0x8e002078,32,org.sunflow.core.Instance,
0x8e002098,40,org.sunflow.core.IntersectionState,
0x8e0036c8,136,org.sunflow.image.RGBSpace,
0x8e003878,32,org.sunflow.core.accel.KDTree,
0x8e003898,40,org.sunflow.core.IntersectionState,
0x8e0be378,24,org.sunflow.core.IntersectionState$StackNode,
0x8e0be390,24,org.sunflow.core.IntersectionState$StackNode,
0x8e0be3a8,24,org.sunflow.core.IntersectionState$StackNode,
