block,order,variant,padding_mode,effective_padding_bytes,peak_heap_used_kb,max_rss_kb,sample_count,status,accepted,validation
1,1,baseline,none,0,10160282.400,10346104,206,0,1,image_check_passed
1,2,contended-default,jvm-default,128,13078351.500,13333864,137,0,1,image_check_passed
1,3,contended-64,explicit,64,11285377.700,11500532,69,0,1,image_check_passed
2,1,baseline,none,0,10286874.700,10375880,197,0,1,image_check_passed
2,2,contended-64,explicit,64,11055514.800,11676556,80,0,1,image_check_passed
2,3,contended-default,jvm-default,128,13614679.700,13733120,88,0,1,image_check_passed
3,1,contended-default,jvm-default,128,13564213.500,13744656,100,0,1,image_check_passed
3,2,baseline,none,0,10225693.200,10395728,120,0,1,image_check_passed
3,3,contended-64,explicit,64,11768310.700,11934680,70,0,1,image_check_passed
4,1,contended-default,jvm-default,128,13082996.600,13348480,110,0,1,image_check_passed
4,2,contended-64,explicit,64,11763794.100,11906176,79,0,1,image_check_passed
4,3,baseline,none,0,10245466.800,10355100,279,0,1,image_check_passed
5,1,contended-64,explicit,64,11823139.300,12084272,60,0,1,image_check_passed
5,2,baseline,none,0,10301536.000,10398704,129,0,1,image_check_passed
5,3,contended-default,jvm-default,128,13707507.600,13827440,97,0,1,image_check_passed
6,1,contended-64,explicit,64,11385613.000,11952184,80,0,1,image_check_passed
6,2,contended-default,jvm-default,128,13590303.600,13809264,89,0,1,image_check_passed
6,3,baseline,none,0,10269107.700,10369876,228,0,1,image_check_passed
