block,order,variant,padding_mode,effective_padding_bytes,elapsed_seconds,status,accepted,validation
1,1,baseline,none,0,26.548942,0,1,image_check_passed
1,2,contended-default,jvm-default,128,12.510654,0,1,image_check_passed
1,3,contended-64,explicit,64,8.640033,0,1,image_check_passed
2,1,baseline,none,0,16.465026,0,1,image_check_passed
2,2,contended-64,explicit,64,9.674745,0,1,image_check_passed
2,3,contended-default,jvm-default,128,10.352359,0,1,image_check_passed
3,1,contended-default,jvm-default,128,8.458751,0,1,image_check_passed
3,2,baseline,none,0,10.779302,0,1,image_check_passed
3,3,contended-64,explicit,64,7.466641,0,1,image_check_passed
4,1,contended-default,jvm-default,128,9.287381,0,1,image_check_passed
4,2,contended-64,explicit,64,10.475864,0,1,image_check_passed
4,3,baseline,none,0,24.373043,0,1,image_check_passed
5,1,contended-64,explicit,64,9.659120,0,1,image_check_passed
5,2,baseline,none,0,18.195911,0,1,image_check_passed
5,3,contended-default,jvm-default,128,10.095166,0,1,image_check_passed
6,1,contended-64,explicit,64,7.461644,0,1,image_check_passed
6,2,contended-default,jvm-default,128,10.826083,0,1,image_check_passed
6,3,baseline,none,0,22.107493,0,1,image_check_passed
7,1,baseline,none,0,27.017341,0,1,image_check_passed
7,2,contended-default,jvm-default,128,8.167030,0,1,image_check_passed
7,3,contended-64,explicit,64,7.772423,0,1,image_check_passed
8,1,baseline,none,0,23.582505,0,1,image_check_passed
8,2,contended-64,explicit,64,8.095074,0,1,image_check_passed
8,3,contended-default,jvm-default,128,10.683258,0,1,image_check_passed
9,1,contended-default,jvm-default,128,9.004675,0,1,image_check_passed
9,2,baseline,none,0,13.991772,0,1,image_check_passed
9,3,contended-64,explicit,64,7.400574,0,1,image_check_passed
10,1,contended-default,jvm-default,128,8.669306,0,1,image_check_passed
10,2,contended-64,explicit,64,8.172409,0,1,image_check_passed
10,3,baseline,none,0,15.521740,0,1,image_check_passed
11,1,contended-64,explicit,64,8.145866,0,1,image_check_passed
11,2,baseline,none,0,18.551826,0,1,image_check_passed
11,3,contended-default,jvm-default,128,8.613658,0,1,image_check_passed
12,1,contended-64,explicit,64,7.695577,0,1,image_check_passed
12,2,contended-default,jvm-default,128,8.345136,0,1,image_check_passed
12,3,baseline,none,0,25.845616,0,1,image_check_passed
13,1,baseline,none,0,18.301782,0,1,image_check_passed
13,2,contended-default,jvm-default,128,8.014578,0,1,image_check_passed
13,3,contended-64,explicit,64,8.137403,0,1,image_check_passed
14,1,baseline,none,0,25.511282,0,1,image_check_passed
14,2,contended-64,explicit,64,8.411724,0,1,image_check_passed
14,3,contended-default,jvm-default,128,9.928070,0,1,image_check_passed
15,1,contended-default,jvm-default,128,8.611685,0,1,image_check_passed
15,2,baseline,none,0,18.711578,0,1,image_check_passed
15,3,contended-64,explicit,64,10.117045,0,1,image_check_passed
16,1,contended-default,jvm-default,128,8.520726,0,1,image_check_passed
16,2,contended-64,explicit,64,8.325384,0,1,image_check_passed
16,3,baseline,none,0,15.271975,0,1,image_check_passed
17,1,contended-64,explicit,64,10.372089,0,1,image_check_passed
17,2,baseline,none,0,29.584724,0,1,image_check_passed
17,3,contended-default,jvm-default,128,11.793815,0,1,image_check_passed
18,1,contended-64,explicit,64,7.904220,0,1,image_check_passed
18,2,contended-default,jvm-default,128,8.756317,0,1,image_check_passed
18,3,baseline,none,0,15.864434,0,1,image_check_passed
19,1,baseline,none,0,16.829977,0,1,image_check_passed
19,2,contended-default,jvm-default,128,9.703911,0,1,image_check_passed
19,3,contended-64,explicit,64,8.277154,0,1,image_check_passed
20,1,baseline,none,0,25.644641,0,1,image_check_passed
20,2,contended-64,explicit,64,8.216829,0,1,image_check_passed
20,3,contended-default,jvm-default,128,8.608301,0,1,image_check_passed
21,1,contended-default,jvm-default,128,8.470979,0,1,image_check_passed
21,2,baseline,none,0,13.753252,0,1,image_check_passed
21,3,contended-64,explicit,64,7.234854,0,1,image_check_passed
22,1,contended-default,jvm-default,128,8.358438,0,1,image_check_passed
22,2,contended-64,explicit,64,8.680051,0,1,image_check_passed
22,3,baseline,none,0,27.068210,0,1,image_check_passed
23,1,contended-64,explicit,64,8.985126,0,1,image_check_passed
23,2,baseline,none,0,14.766526,0,1,image_check_passed
23,3,contended-default,jvm-default,128,9.304797,0,1,image_check_passed
24,1,contended-64,explicit,64,8.112587,0,1,image_check_passed
24,2,contended-default,jvm-default,128,9.496054,0,1,image_check_passed
24,3,baseline,none,0,12.231661,0,1,image_check_passed
