pair,order,variant,elapsed_seconds,status,accepted,validation
1,1,baseline,90.478470,0,1,image_check_passed
1,2,fixed,54.110787,0,1,image_check_passed
2,1,fixed,54.088585,0,1,image_check_passed
2,2,baseline,61.878629,0,1,image_check_passed
3,1,baseline,54.198741,0,1,image_check_passed
3,2,fixed,66.369107,0,1,image_check_passed
4,1,fixed,57.024242,0,1,image_check_passed
4,2,baseline,63.268969,0,1,image_check_passed
5,1,baseline,86.999200,0,1,image_check_passed
5,2,fixed,54.652290,0,1,image_check_passed
6,1,fixed,57.791931,0,1,image_check_passed
6,2,baseline,55.787052,0,1,image_check_passed
7,1,baseline,60.216848,0,1,image_check_passed
7,2,fixed,54.356758,0,1,image_check_passed
8,1,fixed,61.228206,0,1,image_check_passed
8,2,baseline,53.811815,0,1,image_check_passed
9,1,baseline,66.037074,0,1,image_check_passed
9,2,fixed,51.810071,0,1,image_check_passed
10,1,fixed,56.337865,0,1,image_check_passed
10,2,baseline,80.459150,0,1,image_check_passed
11,1,baseline,60.874360,0,1,image_check_passed
11,2,fixed,54.247848,0,1,image_check_passed
12,1,fixed,54.175830,0,1,image_check_passed
12,2,baseline,80.147029,0,1,image_check_passed
13,1,baseline,59.192976,0,1,image_check_passed
13,2,fixed,50.944359,0,1,image_check_passed
14,1,fixed,54.532374,0,1,image_check_passed
14,2,baseline,77.830106,0,1,image_check_passed
15,1,baseline,93.408814,0,1,image_check_passed
15,2,fixed,54.744013,0,1,image_check_passed
16,1,fixed,54.977301,0,1,image_check_passed
16,2,baseline,53.886479,0,1,image_check_passed
17,1,baseline,92.360158,0,1,image_check_passed
17,2,fixed,54.659461,0,1,image_check_passed
18,1,fixed,52.018719,0,1,image_check_passed
18,2,baseline,87.663990,0,1,image_check_passed
19,1,baseline,57.303405,0,1,image_check_passed
19,2,fixed,54.301618,0,1,image_check_passed
20,1,fixed,54.684435,0,1,image_check_passed
20,2,baseline,61.877017,0,1,image_check_passed
