block,order,variant,padding_mode,effective_padding_bytes,peak_heap_used_kb,max_rss_kb,sample_count,status,accepted,validation
1,1,baseline,none,0,100,200,10,0,1,image_check_passed
1,2,contended-default,jvm-default,128,180,260,10,0,1,image_check_passed
1,3,contended-64,explicit,64,140,230,10,0,1,image_check_passed
2,1,baseline,none,0,110,210,10,0,1,image_check_passed
2,2,contended-64,explicit,64,150,240,10,0,1,image_check_passed
2,3,contended-default,jvm-default,128,190,270,10,0,1,image_check_passed
3,1,contended-default,jvm-default,128,200,280,10,0,1,image_check_passed
3,2,baseline,none,0,120,220,10,0,1,image_check_passed
3,3,contended-64,explicit,64,160,250,10,0,1,image_check_passed
4,1,contended-default,jvm-default,128,210,290,10,0,1,image_check_passed
4,2,contended-64,explicit,64,170,260,10,0,1,image_check_passed
4,3,baseline,none,0,130,230,10,0,1,image_check_passed
5,1,contended-64,explicit,64,180,270,10,0,1,image_check_passed
5,2,baseline,none,0,140,240,10,0,1,image_check_passed
5,3,contended-default,jvm-default,128,220,300,10,0,1,image_check_passed
6,1,contended-64,explicit,64,190,280,10,0,1,image_check_passed
6,2,contended-default,jvm-default,128,230,310,10,0,1,image_check_passed
6,3,baseline,none,0,150,250,10,0,1,image_check_passed
