block,order,variant,padding_mode,effective_padding_bytes,elapsed_seconds,status,accepted,validation
1,1,baseline,none,0,10,0,1,image_check_passed
1,2,contended-default,jvm-default,128,8,0,1,image_check_passed
1,3,contended-64,explicit,64,7,0,1,image_check_passed
2,1,baseline,none,0,11,0,1,image_check_passed
2,2,contended-64,explicit,64,8,0,1,image_check_passed
2,3,contended-default,jvm-default,128,9,0,1,image_check_passed
3,1,contended-default,jvm-default,128,10,0,1,image_check_passed
3,2,baseline,none,0,12,0,1,image_check_passed
3,3,contended-64,explicit,64,9,0,1,image_check_passed
4,1,contended-default,jvm-default,128,11,0,1,image_check_passed
4,2,contended-64,explicit,64,10,0,1,image_check_passed
4,3,baseline,none,0,13,0,1,image_check_passed
5,1,contended-64,explicit,64,11,0,1,image_check_passed
5,2,baseline,none,0,14,0,1,image_check_passed
5,3,contended-default,jvm-default,128,12,0,1,image_check_passed
6,1,contended-64,explicit,64,12,0,1,image_check_passed
6,2,contended-default,jvm-default,128,13,0,1,image_check_passed
6,3,baseline,none,0,15,0,1,image_check_passed
